counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
7,19.54,19.54,MPICO,19.54,0,19.51,19.54,46000,0.43,2.2,19.02,5.26,0.69,44903.85,8540.17,2298047460,9/12/2025,14:38:02
8,9426.44,9426.44,NBM,9426.44,10840,9426.38,9426.44,100,126.35,1.34,2.32,43.03,16.39,4401504.01,102283,466931738,9/12/2025,14:38:02
9,1024.76,1024.73,NBS,0,1024.74,1024.76,1024.74,178254,10.9,1.06,2.45,40.86,26.61,2982580.94,72991,2910573356,9/12/2025,14:38:02
10,1740.01,1739.99,NICO,0,1740,1740.01,1740,165086,20,1.15,3.97,25.2,11.66,1814891.51,72009,1043041096,9/12/2025,14:38:02
11,1922,1922,NITL,1922,0,1922,1922,200,11.1,0.58,11.47,8.72,3.52,259470,29759.48,135000000,9/12/2025,14:38:02
12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/12/2025,14:38:02
13,6600,6599.98,PCL,0,6600,6600,6600,7739,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/12/2025,14:38:02
14,6492.5,6489.5,STANDARD,0,6489.5,6492.87,6491.1,32062,161.93,2.49,1.13,88.19,29.32,7616272.53,86365,1173340810,9/12/2025,14:38:02
15,,,SUNBIRD,500,0,460.02,460.02,0,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/12/2025,14:38:02
16,35,34.5,TNM,0,34.99,34.9,34.85,607235,0,0,2.5,39.98,7.76,402210.83,10060,11541200375,9/12/2025,14:38:02
1,137.98,137.97,AIRTEL,0,137.97,138.01,137.97,18678,2,1.45,2.81,35.52,47.26,1517670,42722.11,11000000000,9/11/2025,14:41:47
2,,,BHL,15.02,0,15.01,15.01,0,0,0,-1.55,-64.4,1.36,88232.61,-1370.11,5878254935,9/11/2025,14:41:47
3,600,599.98,FDHB,0,600,599.99,599.99,118035,4.73,0.79,1.79,55.91,42.51,4140549.74,74063,6901031250,9/11/2025,14:41:47
4,1758.42,1758.42,FMBCH,1758.42,1897.97,1758.41,1758.42,26169,3.64,0.21,2.74,36.55,13.14,4322635.97,118254.74,2458250000,9/11/2025,14:41:47
